,DATE,STOCK,UNRATE
0,01-03-1971,101.78,6.0
1,01-04-1971,106.34,5.9
2,01-06-1971,108.87,5.9
3,01-07-1971,108.47,6.0
4,01-09-1971,108.65,6.0
5,01-10-1971,109.58,5.8
6,01-11-1971,103.69,6.0
7,01-12-1971,105.06,6.0
8,01-02-1972,119.58,5.7
9,01-03-1972,126.29,5.8
10,01-05-1972,130.16,5.7
11,01-06-1972,133.13,5.7
12,01-08-1972,128.45,5.6
13,01-09-1972,130.7,5.5
14,01-11-1972,131.59,5.3
15,01-12-1972,133.94,5.2
16,01-01-1973,134.18,4.9
17,01-02-1973,126.94,5.0
18,01-03-1973,119.53,4.9
19,01-05-1973,107.96,4.9
20,01-06-1973,102.3,4.9
21,01-08-1973,107.13,4.8
22,01-10-1973,110.97,4.6
23,01-11-1973,109.62,4.8
24,01-01-1974,92.36,5.1
25,01-02-1974,94.15,5.2
26,01-03-1974,94.05,5.1
27,01-04-1974,91.9,5.1
28,01-05-1974,87.63,5.1
29,01-07-1974,75.39,5.5
30,01-08-1974,69.63,5.5
31,01-10-1974,55.48,6.0
32,01-11-1974,65.06,6.6
33,01-01-1975,60.26000000000001,8.1
34,01-04-1975,75.42,8.8
35,01-05-1975,79.27,9.0
36,01-07-1975,86.33,8.6
37,01-08-1975,81.62,8.4
38,01-09-1975,78.45,8.4
39,01-10-1975,73.8,8.4
40,01-12-1975,78.66,8.2
41,01-01-1976,77.84,7.9
42,01-03-1976,90.25,7.6
43,01-04-1976,90.44,7.7
44,01-06-1976,87.81,7.6
45,01-07-1976,90.28,7.8
46,01-09-1976,90.59,7.6
47,01-10-1976,90.44,7.7
48,01-11-1976,90.39,7.8
49,01-12-1976,91.83,7.8
50,01-02-1977,96.3,7.6
51,01-03-1977,95.14,7.4
52,01-04-1977,94.54,7.2
53,01-06-1977,95.86,7.2
54,01-07-1977,99.9,6.9
55,01-08-1977,100.76,7.0
56,01-09-1977,100.4,6.8
57,01-11-1977,96.74,6.8
58,01-12-1977,103.68,6.4
59,01-02-1978,101.54,6.3
60,01-03-1978,101.47,6.3
61,01-05-1978,115.96,6.0
62,01-06-1978,120.34,5.9
63,01-08-1978,126.81,5.9
64,01-09-1978,135.35,6.0
65,01-11-1978,114.65,5.9
66,01-12-1978,116.19,6.0
67,01-01-1979,117.91,5.9
68,01-02-1979,125.76,5.9
69,01-03-1979,123.33,5.8
70,01-05-1979,133.79,5.6
71,01-06-1979,131.76,5.7
