,DATE,EXCH,STOCK,GOLD
0,05-02-1971,2.4147,100.0,38.41
1,08-02-1971,2.4182,100.84,38.7
2,09-02-1971,2.4151,100.76,38.85
3,10-02-1971,2.4159,100.69,38.85
4,11-02-1971,2.4158,101.45,38.95
5,12-02-1971,2.4169666666666667,102.05,38.85
6,15-02-1971,2.418133333333333,102.12,38.95
7,16-02-1971,2.4193,102.19,38.95
8,17-02-1971,2.4193,101.74,38.875
9,18-02-1971,2.4191,101.42,38.84
10,19-02-1971,2.419,100.7,38.725
11,22-02-1971,2.4192,99.68,38.75
12,23-02-1971,2.4193,99.72,38.79
13,24-02-1971,2.4193,100.64,38.75
14,25-02-1971,2.4177,101.23,38.78
15,26-02-1971,2.416,101.34,38.8
16,01-03-1971,2.4162,101.78,38.69
17,02-03-1971,2.4184,101.84,38.71
18,03-03-1971,2.4193,102.07,38.81
19,04-03-1971,2.4179,102.78,38.75
20,05-03-1971,2.4183,103.51,38.75
21,08-03-1971,2.4192,104.23,38.79
22,09-03-1971,2.4188,104.41,38.81
23,10-03-1971,2.4192,104.14,38.845
24,11-03-1971,2.4188,104.26,39.0
25,12-03-1971,2.4193,104.5,39.04
26,15-03-1971,2.4193,105.13,39.0
27,16-03-1971,2.4183,105.56,38.9
28,17-03-1971,2.4194,105.5,38.925
29,18-03-1971,2.419,105.88,39.0
30,19-03-1971,2.419,105.77,38.95
31,22-03-1971,2.4193,105.37,38.96
32,23-03-1971,2.4193,105.11,38.95
33,24-03-1971,2.4194,104.7,38.89
34,25-03-1971,2.4185,104.6,38.925
35,26-03-1971,2.4188,105.07,38.88
36,29-03-1971,2.4194,105.2,38.775
37,30-03-1971,2.4181,105.44,38.8
38,31-03-1971,2.4168,105.97,38.875
39,01-04-1971,2.4147,106.34,38.9
40,02-04-1971,2.4125,106.86,38.875
41,05-04-1971,2.4161,107.17,38.89
42,06-04-1971,2.4189,107.56,38.85
43,07-04-1971,2.417,108.06,38.9
44,08-04-1971,2.4167,108.38,38.98
45,09-04-1971,2.4167,108.625,38.97
46,12-04-1971,2.4169,108.87,38.96
47,13-04-1971,2.4167,108.85,38.95
48,14-04-1971,2.418,109.08,38.9
49,15-04-1971,2.4187,109.69,38.91
50,16-04-1971,2.4186,109.96,38.95
51,19-04-1971,2.4193,110.16,38.95
52,20-04-1971,2.4193,109.53,38.91
53,21-04-1971,2.4196,109.52,38.9
54,22-04-1971,2.4187,109.99,39.15
55,23-04-1971,2.4189,110.69,39.045
56,26-04-1971,2.4188,111.13,38.9
57,27-04-1971,2.419,111.69,38.95
58,28-04-1971,2.4195,112.37,39.225
59,29-04-1971,2.4192,112.46,39.45
60,30-04-1971,2.4193,112.3,39.7
61,03-05-1971,2.4189,111.35,39.43
62,04-05-1971,2.4185,111.77,39.65
63,05-05-1971,2.4194,111.68,40.1
64,06-05-1971,2.4185,111.06,40.3
65,07-05-1971,2.4188,110.66,39.775
66,10-05-1971,2.4173,110.15,39.84
67,11-05-1971,2.417,110.33,40.2
68,12-05-1971,2.4183,110.37,40.45
69,13-05-1971,2.4183,110.55,40.8
70,14-05-1971,2.4186,110.74,41.2
71,17-05-1971,2.4193,109.15,40.7
72,18-05-1971,2.419,108.4,40.9
73,19-05-1971,2.4194,108.33,40.6
74,20-05-1971,2.4193,108.72,41.15
75,21-05-1971,2.4194,108.85,40.975
76,24-05-1971,2.4194,108.42,40.775
77,25-05-1971,2.419,107.5,41.025
78,26-05-1971,2.4194,107.53,40.9
79,27-05-1971,2.4187,107.6,40.7
80,28-05-1971,2.4178,108.25,40.84
81,31-05-1971,2.417,108.56,40.84
82,01-06-1971,2.4162,108.87,40.84
83,02-06-1971,2.417,109.56,40.6
84,03-06-1971,2.4188,110.22,40.6
85,04-06-1971,2.419,110.66,40.6
86,07-06-1971,2.4192,110.76,40.45
87,08-06-1971,2.4188,110.02,40.175
88,09-06-1971,2.4194,109.79,39.925
89,10-06-1971,2.4193,110.06,39.75
90,11-06-1971,2.4194,110.2,39.6
91,14-06-1971,2.4186,109.57,39.55
92,15-06-1971,2.4187,109.36,39.59
93,16-06-1971,2.4193,109.44,39.975
94,17-06-1971,2.4189,109.44,39.84
95,18-06-1971,2.4191,108.16,39.95
96,21-06-1971,2.4191,106.5,39.95
97,22-06-1971,2.419,105.49,40.125
98,23-06-1971,2.4195,105.99,40.3
99,24-06-1971,2.4191,106.37,40.375
100,25-06-1971,2.4191,106.56,40.1
101,28-06-1971,2.4185,106.45,39.95
102,29-06-1971,2.419,107.22,39.9
