,DATE,GDP,EXCH,STOCK,GOLD
0,1971-04-01,2.2,2.4147,106.34,38.9
1,1971-04-01,2.2,2.4125,106.86,38.875
2,1971-04-01,2.2,2.4161,107.17,38.89
3,1971-04-01,2.2,2.4189,107.56,38.85
4,1971-04-01,2.2,2.417,108.06,38.9
5,1971-04-01,2.2,2.4167,108.38,38.98
6,1971-04-01,2.2,2.4167,108.625,38.97
7,1971-04-01,2.2,2.4169,108.87,38.96
8,1971-04-01,2.2,2.4167,108.85,38.95
9,1971-04-01,2.2,2.418,109.08,38.9
10,1971-04-01,2.2,2.4187,109.69,38.91
11,1971-04-01,2.2,2.4186,109.96,38.95
12,1971-04-01,2.2,2.4193,110.16,38.95
13,1971-04-01,2.2,2.4193,109.53,38.91
14,1971-04-01,2.2,2.4196,109.52,38.9
15,1971-04-01,2.2,2.4187,109.99,39.15
16,1971-04-01,2.2,2.4189,110.69,39.045
17,1971-04-01,2.2,2.4188,111.13,38.9
18,1971-04-01,2.2,2.419,111.69,38.95
19,1971-04-01,2.2,2.4195,112.37,39.225
20,1971-04-01,2.2,2.4192,112.46,39.45
21,1971-04-01,2.2,2.4193,112.3,39.7
22,1971-07-01,3.3,2.419,108.47,40.24
23,1971-07-01,3.3,2.419,108.77,40.375
24,1971-07-01,3.3,2.41855,109.0,40.3
25,1971-07-01,3.3,2.4181,109.23,40.3
26,1971-07-01,3.3,2.4187,110.01,40.25
27,1971-07-01,3.3,2.4185,110.42,40.275
28,1971-07-01,3.3,2.4183,110.91,40.24
29,1971-07-01,3.3,2.4182,111.24,40.375
30,1971-07-01,3.3,2.418,110.76,40.31
31,1971-07-01,3.3,2.4187,110.34,40.35
32,1971-07-01,3.3,2.4187,110.72,40.425
33,1971-07-01,3.3,2.4189,109.98,40.74
34,1971-07-01,3.3,2.4183,109.37,41.0
35,1971-07-01,3.3,2.4182,109.79,40.9
36,1971-07-01,3.3,2.4191,109.74,41.16
37,1971-07-01,3.3,2.4188,109.54,41.7
38,1971-07-01,3.3,2.419,109.63,41.625
39,1971-07-01,3.3,2.418,109.35,41.75
40,1971-07-01,3.3,2.4178,108.57,41.9
41,1971-07-01,3.3,2.4185,107.45,42.05
42,1971-07-01,3.3,2.4184,105.81,42.275
43,1971-07-01,3.3,2.4184,105.27,42.4
44,1971-10-01,0.9,2.4892,109.58,42.4
45,1971-10-01,0.9,2.4889,109.96,42.525
46,1971-10-01,0.9,2.4894,109.99,42.425
47,1971-10-01,0.9,2.4882,110.68,42.45
48,1971-10-01,0.9,2.4894,110.98,42.545
49,1971-10-01,0.9,2.4802,110.74,42.45
50,1971-10-01,0.9,2.48485,110.71,42.51
51,1971-10-01,0.9,2.4895,110.91,42.51
52,1971-10-01,0.9,2.4891,110.69,42.7
53,1971-10-01,0.9,2.4806,109.87,42.625
54,1971-10-01,0.9,2.4889,109.6,42.55
55,1971-10-01,0.9,2.4894,109.06,42.56
56,1971-10-01,0.9,2.4893,107.99,42.575
57,1971-10-01,0.9,2.4912,106.58,42.525
58,1971-10-01,0.9,2.4921,106.61,42.475
59,1971-10-01,0.9,2.4927,106.8,42.475
60,1971-10-01,0.9,2.4933500000000004,106.29,42.525
61,1971-10-01,0.9,2.494,105.69,42.5
62,1971-10-01,0.9,2.4945,104.28,42.475
63,1971-10-01,0.9,2.4938,104.5,42.45
64,1971-10-01,0.9,2.4914,105.1,42.34
65,1972-01-01,7.6,2.552,113.65,44.0
66,1972-01-01,7.6,2.5505,113.93,44.38
67,1972-01-01,7.6,2.551,114.83,44.525
68,1972-01-01,7.6,2.5502,115.72,45.25
69,1972-01-01,7.6,2.5502,116.05,45.85
