,DATE,GDP,EXCH,STOCK,GOLD,SP500 (Percent change from a year ago),10Y Rate - 3M TBill,10Y Rate (Percent change from a year ago,3M TBill (Percent Change from a year ago),6M TBill - FF,1Y Rate - FF,5Y Rate - FF,10Y Rate - FF,Composite Leading Indicator,Recession State
0,1971-01-03,11.3,2.4162,101.78,38.69,0.123519459,2.32,-18.95332,-49.01961,-0.21,-0.02,1.3,1.99,99.93961,0
1,1971-01-04,11.3,2.4147,106.34,38.9,0.19837114600000005,1.97,-20.467029999999998,-40.70661,-0.12,0.14,1.49,1.67,100.1297,0
2,1971-01-06,11.3,2.4162,108.87,40.84,0.31922211899999997,1.77,-17.43003,-28.892220000000002,0.06,0.73,1.62,1.61,100.2531,0
3,1971-01-07,11.3,2.419,108.47,40.24,0.307448495,1.33,-10.28037,-16.27907,0.32,0.74,1.55,1.43,100.2563,0
4,1971-01-09,11.3,2.4541,108.65,41.1,0.203681279,1.45,-16.98113,-23.36601,-0.58,-0.11,0.61,0.62,100.3509,0
5,1971-01-10,11.3,2.4892,109.58,42.4,0.153135001,1.47,-18.71585,-24.534689999999998,-0.6,-0.29,0.72,0.72,100.5165,0
6,1971-01-11,11.3,2.4927,103.69,42.15,0.100854295,1.59,-15.57496,-20.07576,-0.53,-0.22,0.89,0.92,100.7838,0
7,1971-01-12,11.3,2.4939,105.06,43.54,0.10127706800000001,1.92,-7.05329,-17.65914,0.09,0.51,1.6,1.83,101.135,0
8,1971-04-03,2.2,2.4179,102.78,38.75,0.123519459,2.32,-18.95332,-49.01961,-0.21,-0.02,1.3,1.99,99.93961,0
9,1971-04-26,2.2,2.4188,111.13,38.9,0.335787536,2.25,-18.88466,-39.47368,-0.27,0.38,1.62,1.73,100.2241,0
10,1971-04-27,2.2,2.419,111.69,38.95,0.335787536,2.25,-18.88466,-39.47368,-0.27,0.38,1.62,1.73,100.2241,0
11,1971-04-28,2.2,2.4195,112.37,39.225,0.335787536,2.25,-18.88466,-39.47368,-0.27,0.38,1.62,1.73,100.2241,0
12,1971-04-29,2.2,2.4192,112.46,39.45,0.335787536,2.25,-18.88466,-39.47368,-0.27,0.38,1.62,1.73,100.2241,0
13,1971-04-30,2.2,2.4193,112.3,39.7,0.335787536,2.25,-18.88466,-39.47368,-0.27,0.38,1.62,1.73,100.2241,0
14,1971-04-06,2.2,2.419,110.66,40.6,0.31922211899999997,1.77,-17.43003,-28.892220000000002,0.06,0.73,1.62,1.61,100.2531,0
15,1971-04-11,2.2,2.4928,105.56,42.2,0.100854295,1.59,-15.57496,-20.07576,-0.53,-0.22,0.89,0.92,100.7838,0
16,1971-07-26,3.3,2.418,109.35,41.75,0.24794661199999998,1.64,-12.2178,-22.93292000000001,-0.34,0.23,0.98,1.01,100.2748,0
17,1971-07-27,3.3,2.4178,108.57,41.9,0.24794661199999998,1.64,-12.2178,-22.93292000000001,-0.34,0.23,0.98,1.01,100.2748,0
